Tem1erature,Humidity,Light,CO2,HumidityRatio,Occu1ancy
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,2,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,2,A
2,1,1,1,1,A
2,1,1,1,2,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,A
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
2,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,A
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,A
1,1,1,1,1,B
1,1,1,1,1,B
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
1,1,1,1,1,A
